 Slug Name,Project Start,Project End,days,Communication Skills,Feasibility Analysis,Ideation,User-Centered Design,Trend Analysis,Problem Solving,Design Planning,Cross-functional Collaboration,Product Conceptualization,User Experience (UX) Design,Innovation,Design Research,Risk Assessment,Cost/Benefit Analysis,Technical Feasibility,Decision Making,Business Acumen,Technical Communication,CAD (Computer-Aided Design),Prototyping,Materials Knowledge,Product Testing,Performance Analysis,Reliability Testing,Usability Testing,Simulation,Data Analysis,Continuous Improvement,Iterative Design,Value Engineering,Feedback Incorporation,Iterative Prototyping,Process Optimization,Materials Selection,Production Planning,Supplier Management,Cost Reduction,Design for Manufacturing (DFM),Jig and Fixture Design,Testing Automation,Tolerance Analysis,Production Coordination,Assembly Processes,Quality Management,Lean Manufacturing,Six Sigma,Inspection Techniques,Statistical Process Control (SPC),Human Factors and Ergonomics,Geometric Design and Tolerancing (GD&T),Failure Mode and Effects Analysis (FMEA),Graphic Design,Consumer Psychology,Product Launch Planning,Supply Chain Management,Logistics Planning,Global Logistics,Project Management,Launch Planning,Stakeholder Communication,Risk Management,Project Coordination,Customer Feedback Analysis,Product Knowledge,Post-Launch Analysis,KPI Tracking,Root Cause Analysis,Lessons Learned,Agile Methodology
Switches,7/1/2017,3/1/2018,243,12.15,2.43,2.43,2.43,2.43,12.15,12.15,2.43,4.86,2.43,2.43,7.29,2.43,2.43,2.43,7.29,2.43,12.15,2.43,12.15,2.43,7.29,2.43,4.86,2.43,4.86,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,7.29,2.43,2.43,2.43,2.43,2.43,2.43,2.43
Extension Switches,3/1/2017,2/1/2018,337,16.85,3.37,3.37,3.37,3.37,16.85,16.85,3.37,6.74,3.37,3.37,10.11,3.37,3.37,3.37,10.11,3.37,16.85,3.37,16.85,3.37,10.11,3.37,6.74,3.37,6.74,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,10.11,3.37,3.37,3.37,3.37,3.37,3.37,3.37
Room Director,8/1/2017,1/1/2018,153,7.65,1.53,1.53,1.53,1.53,7.65,7.65,1.53,3.06,1.53,1.53,4.59,1.53,1.53,1.53,4.59,1.53,7.65,1.53,7.65,1.53,4.59,1.53,3.06,1.53,3.06,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,4.59,1.53,1.53,1.53,1.53,1.53,1.53,1.53
Wall Plates,3/1/2017,2/1/2018,337,16.85,3.37,3.37,3.37,3.37,16.85,16.85,3.37,6.74,3.37,3.37,10.11,3.37,3.37,3.37,10.11,3.37,16.85,3.37,16.85,3.37,10.11,3.37,6.74,3.37,6.74,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,10.11,3.37,3.37,3.37,3.37,3.37,3.37,3.37
Base,3/17/2017,5/1/2018,410,20.5,4.1,4.1,4.1,4.1,20.5,20.5,4.1,8.2,4.1,4.1,12.3,4.1,4.1,4.1,12.3,4.1,20.5,4.1,20.5,4.1,12.3,4.1,8.2,4.1,8.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,12.3,4.1,4.1,4.1,4.1,4.1,4.1,4.1
Glyph 2,10/17/2015,3/1/2017,501,25.05,5.01,5.01,5.01,5.01,25.05,25.05,5.01,10.02,5.01,5.01,15.03,5.01,5.01,5.01,15.03,5.01,25.05,5.01,25.05,5.01,15.03,5.01,10.02,5.01,10.02,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,15.03,5.01,5.01,5.01,5.01,5.01,5.01,5.01
Glyph,6/1/2015,3/1/2017,639,31.95,6.39,6.39,6.39,6.39,31.95,31.95,6.39,12.78,6.39,6.39,19.17,6.39,6.39,6.39,19.17,6.39,31.95,6.39,31.95,6.39,19.17,6.39,12.78,6.39,12.78,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,19.17,6.39,6.39,6.39,6.39,6.39,6.39,6.39
BFD,12/1/2016,3/14/2024,2660,133,26.6,26.6,26.6,26.6,133,133,26.6,53.2,26.6,26.6,79.8,26.6,26.6,26.6,79.8,26.6,133,26.6,133,26.6,79.8,26.6,53.2,26.6,53.2,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,79.8,26.6,26.6,26.6,26.6,26.6,26.6,26.6
Strato,6/1/2014,2/1/2015,245,12.25,2.45,2.45,2.45,2.45,12.25,12.25,2.45,4.9,2.45,2.45,7.35,2.45,2.45,2.45,7.35,2.45,12.25,2.45,12.25,2.45,7.35,2.45,4.9,2.45,4.9,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,7.35,2.45,2.45,2.45,2.45,2.45,2.45,2.45
Cinema One,8/1/2012,9/1/2013,396,19.8,3.96,3.96,3.96,3.96,19.8,19.8,3.96,7.92,3.96,3.96,11.88,3.96,3.96,3.96,11.88,3.96,19.8,3.96,19.8,3.96,11.88,3.96,7.92,3.96,7.92,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,11.88,3.96,3.96,3.96,3.96,3.96,3.96,3.96
M700,8/1/2010,7/1/2011,334,16.7,3.34,3.34,3.34,3.34,16.7,16.7,3.34,6.68,3.34,3.34,10.02,3.34,3.34,3.34,10.02,3.34,16.7,3.34,16.7,3.34,10.02,3.34,6.68,3.34,6.68,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,10.02,3.34,3.34,3.34,3.34,3.34,3.34,3.34
DV700,8/2/2010,7/2/2011,334,16.7,3.34,3.34,3.34,3.34,16.7,16.7,3.34,6.68,3.34,3.34,10.02,3.34,3.34,3.34,10.02,3.34,16.7,3.34,16.7,3.34,10.02,3.34,6.68,3.34,6.68,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,10.02,3.34,3.34,3.34,3.34,3.34,3.34,3.34
Disc Cartridges,6/1/2010,12/1/2010,183,9.15,1.83,1.83,1.83,1.83,9.15,9.15,1.83,3.66,1.83,1.83,5.49,1.83,1.83,1.83,5.49,1.83,9.15,1.83,9.15,1.83,5.49,1.83,3.66,1.83,3.66,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,5.49,1.83,1.83,1.83,1.83,1.83,1.83,1.83
K-Remote,4/20/2009,8/1/2009,103,5.15,1.03,1.03,1.03,1.03,5.15,5.15,1.03,2.06,1.03,1.03,3.09,1.03,1.03,1.03,3.09,1.03,5.15,1.03,5.15,1.03,3.09,1.03,2.06,1.03,2.06,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,3.09,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Weemote,6/1/2010,8/1/2010,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
M500,4/1/2010,7/1/2010,91,4.55,0.91,0.91,0.91,0.91,4.55,4.55,0.91,1.82,0.91,0.91,2.73,0.91,0.91,0.91,2.73,0.91,4.55,0.91,4.55,0.91,2.73,0.91,1.82,0.91,1.82,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,2.73,0.91,0.91,0.91,0.91,0.91,0.91,0.91
M300,3/1/2010,5/1/2010,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
KSERVER-1500,3/2/2010,5/2/2010,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
KVAULT-10,9/1/2010,6/1/2011,273,13.65,2.73,2.73,2.73,2.73,13.65,13.65,2.73,5.46,2.73,2.73,8.19,2.73,2.73,2.73,8.19,2.73,13.65,2.73,13.65,2.73,8.19,2.73,5.46,2.73,5.46,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,8.19,2.73,2.73,2.73,2.73,2.73,2.73,2.73
Jewel,6/1/2009,4/1/2010,304,15.2,3.04,3.04,3.04,3.04,15.2,15.2,3.04,6.08,3.04,3.04,9.12,3.04,3.04,3.04,9.12,3.04,15.2,3.04,15.2,3.04,9.12,3.04,6.08,3.04,6.08,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,9.12,3.04,3.04,3.04,3.04,3.04,3.04,3.04
KSYSTEM-120,1/1/2009,6/1/2009,151,7.55,1.51,1.51,1.51,1.51,7.55,7.55,1.51,3.02,1.51,1.51,4.53,1.51,1.51,1.51,4.53,1.51,7.55,1.51,7.55,1.51,4.53,1.51,3.02,1.51,3.02,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,4.53,1.51,1.51,1.51,1.51,1.51,1.51,1.51
KSERVER-5000,6/1/2008,3/1/2009,273,13.65,2.73,2.73,2.73,2.73,13.65,13.65,2.73,5.46,2.73,2.73,8.19,2.73,2.73,2.73,8.19,2.73,13.65,2.73,13.65,2.73,8.19,2.73,5.46,2.73,5.46,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,8.19,2.73,2.73,2.73,2.73,2.73,2.73,2.73
Speed Reader,5/1/2008,2/1/2009,276,13.8,2.76,2.76,2.76,2.76,13.8,13.8,2.76,5.52,2.76,2.76,8.28,2.76,2.76,2.76,8.28,2.76,13.8,2.76,13.8,2.76,8.28,2.76,5.52,2.76,5.52,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,8.28,2.76,2.76,2.76,2.76,2.76,2.76,2.76
KSERVER-1500,5/1/2008,8/1/2008,92,4.6,0.92,0.92,0.92,0.92,4.6,4.6,0.92,1.84,0.92,0.92,2.76,0.92,0.92,0.92,2.76,0.92,4.6,0.92,4.6,0.92,2.76,0.92,1.84,0.92,1.84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,2.76,0.92,0.92,0.92,0.92,0.92,0.92,0.92
KPLAYER-300,3/1/2008,1/1/2009,306,15.3,3.06,3.06,3.06,3.06,15.3,15.3,3.06,6.12,3.06,3.06,9.18,3.06,3.06,3.06,9.18,3.06,15.3,3.06,15.3,3.06,9.18,3.06,6.12,3.06,6.12,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,9.18,3.06,3.06,3.06,3.06,3.06,3.06,3.06
KPLAYER-6000,3/2/2008,1/2/2009,306,15.3,3.06,3.06,3.06,3.06,15.3,15.3,3.06,6.12,3.06,3.06,9.18,3.06,3.06,3.06,9.18,3.06,15.3,3.06,15.3,3.06,9.18,3.06,6.12,3.06,6.12,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,9.18,3.06,3.06,3.06,3.06,3.06,3.06,3.06
KPLAYER-5000,3/1/2008,12/1/2008,275,13.75,2.75,2.75,2.75,2.75,13.75,13.75,2.75,5.5,2.75,2.75,8.25,2.75,2.75,2.75,8.25,2.75,13.75,2.75,13.75,2.75,8.25,2.75,5.5,2.75,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,8.25,2.75,2.75,2.75,2.75,2.75,2.75,2.75
KPLAYER-2500,3/2/2008,12/2/2008,275,13.75,2.75,2.75,2.75,2.75,13.75,13.75,2.75,5.5,2.75,2.75,8.25,2.75,2.75,2.75,8.25,2.75,13.75,2.75,13.75,2.75,8.25,2.75,5.5,2.75,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,8.25,2.75,2.75,2.75,2.75,2.75,2.75,2.75
KSERVER-2500,3/3/2008,12/3/2008,275,13.75,2.75,2.75,2.75,2.75,13.75,13.75,2.75,5.5,2.75,2.75,8.25,2.75,2.75,2.75,8.25,2.75,13.75,2.75,13.75,2.75,8.25,2.75,5.5,2.75,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,8.25,2.75,2.75,2.75,2.75,2.75,2.75,2.75
Mbox 2 Micro,10/1/2007,4/1/2008,183,9.15,1.83,1.83,1.83,1.83,9.15,9.15,1.83,3.66,1.83,1.83,5.49,1.83,1.83,1.83,5.49,1.83,9.15,1.83,9.15,1.83,5.49,1.83,3.66,1.83,3.66,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,5.49,1.83,1.83,1.83,1.83,1.83,1.83,1.83
003 Rack,5/1/2007,10/1/2007,153,7.65,1.53,1.53,1.53,1.53,7.65,7.65,1.53,3.06,1.53,1.53,4.59,1.53,1.53,1.53,4.59,1.53,7.65,1.53,7.65,1.53,4.59,1.53,3.06,1.53,3.06,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,4.59,1.53,1.53,1.53,1.53,1.53,1.53,1.53
Mbox 2 Mini,2/1/2007,5/1/2007,89,4.45,0.89,0.89,0.89,0.89,4.45,4.45,0.89,1.78,0.89,0.89,2.67,0.89,0.89,0.89,2.67,0.89,4.45,0.89,4.45,0.89,2.67,0.89,1.78,0.89,1.78,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,2.67,0.89,0.89,0.89,0.89,0.89,0.89,0.89
